relative_path,filename,extension,size_mb,folder_depth,parent_folder,suspected_placeholder
Бизнес/Финансы/Introduction to Financial Derivatives with Python.pdf,Introduction to Financial Derivatives with Python.pdf,.pdf,6.96,2,Финансы,no
Бизнес/Финансы/Kiyiosaki_R._Feyik_Kak_Loj_Delaet_Bedn.a4.pdf,Kiyiosaki_R._Feyik_Kak_Loj_Delaet_Bedn.a4.pdf,.pdf,4.52,2,Финансы,no
Бизнес/Финансы/Taleb_N. Рискуя собственной шкурой.pdf,Taleb_N. Рискуя собственной шкурой.pdf,.pdf,3.1,2,Финансы,no
Блокчейн/Безопасность блокчейн/A Survey on Security and Privacy Issues of Bitcoin.pdf,A Survey on Security and Privacy Issues of Bitcoin.pdf,.pdf,0.99,2,Безопасность блокчейн,no
Блокчейн/Безопасность блокчейн/Analysis of Man-In-The-Middle of Attack on Bitcoin Address.pdf,Analysis of Man-In-The-Middle of Attack on Bitcoin Address.pdf,.pdf,0.32,2,Безопасность блокчейн,no
Блокчейн/Безопасность блокчейн/Analysis of Spliting Attacks on Bitcoin and GHOST Consensus Protocols.pdf,Analysis of Spliting Attacks on Bitcoin and GHOST Consensus Protocols.pdf,.pdf,0.27,2,Безопасность блокчейн,no
Блокчейн/Безопасность блокчейн/Blockchain Technology for IoE Security.pdf,Blockchain Technology for IoE Security.pdf,.pdf,31.3,2,Безопасность блокчейн,no
Блокчейн/Безопасность блокчейн/Low-Level Attacks in BitcoinWallets.pdf,Low-Level Attacks in BitcoinWallets.pdf,.pdf,0.54,2,Безопасность блокчейн,no
Блокчейн/Безопасность блокчейн/Безопасность_блокчейна_снизу_вверх.pdf,Безопасность_блокчейна_снизу_вверх.pdf,.pdf,26.69,2,Безопасность блокчейн,no
Блокчейн/Основы блокчейн и протоколы/Architecture for BlockChain.pdf,Architecture for BlockChain.pdf,.pdf,8.92,2,Основы блокчейн и протоколы,no
Блокчейн/Основы блокчейн и протоколы/Big Data and Blockchain Technology for Secure IoT.pdf,Big Data and Blockchain Technology for Secure IoT.pdf,.pdf,10.66,2,Основы блокчейн и протоколы,no
"Блокчейн/Основы блокчейн и протоколы/Bitcoin For Dummies , 2nd Edition.pdf","Bitcoin For Dummies , 2nd Edition.pdf",.pdf,12.08,2,Основы блокчейн и протоколы,no
Блокчейн/Основы блокчейн и протоколы/Blockchain based IoT..pdf,Blockchain based IoT..pdf,.pdf,7.86,2,Основы блокчейн и протоколы,no
Блокчейн/Основы блокчейн и протоколы/Blockchain for Business_IT Principles.pdf,Blockchain for Business_IT Principles.pdf,.pdf,24.88,2,Основы блокчейн и протоколы,no
Блокчейн/Основы блокчейн и протоколы/Blockchain in a Volatile-Uncertain-Complex-Ambiguous World.pdf,Blockchain in a Volatile-Uncertain-Complex-Ambiguous World.pdf,.pdf,3.82,2,Основы блокчейн и протоколы,no
"Блокчейн/Основы блокчейн и протоколы/Blockchain_Empowering_Digital_Economy_Yang_Yan,_Bin_Wang,_Jun_Zou.pdf","Blockchain_Empowering_Digital_Economy_Yang_Yan,_Bin_Wang,_Jun_Zou.pdf",.pdf,11.72,2,Основы блокчейн и протоколы,no
Блокчейн/Основы блокчейн и протоколы/Building_With_Ethereum_Products_Protocols_and_Platforms.pdf,Building_With_Ethereum_Products_Protocols_and_Platforms.pdf,.pdf,3.39,2,Основы блокчейн и протоколы,no
Блокчейн/Основы блокчейн и протоколы/Decentralized_Applications_proglib.pdf,Decentralized_Applications_proglib.pdf,.pdf,11.67,2,Основы блокчейн и протоколы,no
Блокчейн/Основы блокчейн и протоколы/Grokking Bitcoin by Kalle Rosenbaum (z-lib.org).pdf,Grokking Bitcoin by Kalle Rosenbaum (z-lib.org).pdf,.pdf,16.83,2,Основы блокчейн и протоколы,no
Блокчейн/Основы блокчейн и протоколы/Introducing.Blockchain.with.Java.pdf,Introducing.Blockchain.with.Java.pdf,.pdf,4.71,2,Основы блокчейн и протоколы,no
Блокчейн/Основы блокчейн и протоколы/Mastering_Bitcoin_russian 2017.pdf,Mastering_Bitcoin_russian 2017.pdf,.pdf,11.36,2,Основы блокчейн и протоколы,no
Блокчейн/Основы блокчейн и протоколы/NFTs for beginer.pdf,NFTs for beginer.pdf,.pdf,4.34,2,Основы блокчейн и протоколы,no
Блокчейн/Основы блокчейн и протоколы/Principles and Practice of Blockchains.pdf,Principles and Practice of Blockchains.pdf,.pdf,7.57,2,Основы блокчейн и протоколы,no
Блокчейн/Основы блокчейн и протоколы/Python для программирования криповалют.pdf,Python для программирования криповалют.pdf,.pdf,38.02,2,Основы блокчейн и протоколы,no
Блокчейн/Основы блокчейн и протоколы/The_Basics_of_Bitcoins_and_Blockchains_An_Introduction_to_Cryptocurrencies.epub,The_Basics_of_Bitcoins_and_Blockchains_An_Introduction_to_Cryptocurrencies.epub,.epub,23.63,2,Основы блокчейн и протоколы,no
"Блокчейн/Основы блокчейн и протоколы/The_Book_of_Crypto_The_Complete_Guide_to_Understanding_Bitcoin,.epub","The_Book_of_Crypto_The_Complete_Guide_to_Understanding_Bitcoin,.epub",.epub,29.02,2,Основы блокчейн и протоколы,no
Блокчейн/Основы блокчейн и протоколы/Блокчейн_ Как это работает и что ждет нас завтра ( PDFDrive ).pdf,Блокчейн_ Как это работает и что ждет нас завтра ( PDFDrive ).pdf,.pdf,4.26,2,Основы блокчейн и протоколы,no
Блокчейн/Основы блокчейн и протоколы/Блокчейн для чайников.pdf,Блокчейн для чайников.pdf,.pdf,48.3,2,Основы блокчейн и протоколы,no
Блокчейн/Основы блокчейн и протоколы/Блокчейн.pdf,Блокчейн.pdf,.pdf,21.37,2,Основы блокчейн и протоколы,no
"Блокчейн/Основы блокчейн и протоколы/Блокчейн_архитектура,_криптовалюты.pdf","Блокчейн_архитектура,_криптовалюты.pdf",.pdf,33.91,2,Основы блокчейн и протоколы,no
Блокчейн/Основы блокчейн и протоколы/Грокаем_технологию_Биткоин.pdf,Грокаем_технологию_Биткоин.pdf,.pdf,56.94,2,Основы блокчейн и протоколы,no
Блокчейн/Основы блокчейн и протоколы/Децентрализованные приложения БлокЧейн в действии.pdf,Децентрализованные приложения БлокЧейн в действии.pdf,.pdf,18.32,2,Основы блокчейн и протоколы,no
"Блокчейн/Основы блокчейн и протоколы/Изучите блокчейн, создав свой 2020.pdf","Изучите блокчейн, создав свой 2020.pdf",.pdf,28.75,2,Основы блокчейн и протоколы,no
Блокчейн/Основы блокчейн и протоколы/Криптвоюматика 2.0.pdf,Криптвоюматика 2.0.pdf,.pdf,2.7,2,Основы блокчейн и протоколы,no
Блокчейн/Основы блокчейн и протоколы/Криптвоюматика.fb2,Криптвоюматика.fb2,.fb2,2.05,2,Основы блокчейн и протоколы,no
Блокчейн/Основы блокчейн и протоколы/Начало работы с Ethereum.pdf,Начало работы с Ethereum.pdf,.pdf,2.92,2,Основы блокчейн и протоколы,no
Блокчейн/Основы блокчейн и протоколы/Осваиваем Ethereum.pdf,Осваиваем Ethereum.pdf,.pdf,36.3,2,Основы блокчейн и протоколы,no
Блокчейн/Основы блокчейн и протоколы/Осваиваем биткойн.pdf,Осваиваем биткойн.pdf,.pdf,9.0,2,Основы блокчейн и протоколы,no
Блокчейн/Основы блокчейн и протоколы/Освоение Lightning Network.pdf,Освоение Lightning Network.pdf,.pdf,34.97,2,Основы блокчейн и протоколы,no
Блокчейн/Основы блокчейн и протоколы/Основы_блокчейна_вводный_курс_для_начинающих_в_25_небольших_главах.pdf,Основы_блокчейна_вводный_курс_для_начинающих_в_25_небольших_главах.pdf,.pdf,2.95,2,Основы блокчейн и протоколы,no
Блокчейн/Основы блокчейн и протоколы/Принципы_и_методы_технологии_блокчейн.pdf,Принципы_и_методы_технологии_блокчейн.pdf,.pdf,23.26,2,Основы блокчейн и протоколы,no
Блокчейн/Основы блокчейн и протоколы/Тапскот Blockchain_Revolution 1993-2010.pdf,Тапскот Blockchain_Revolution 1993-2010.pdf,.pdf,2.55,2,Основы блокчейн и протоколы,no
Блокчейн/Основы блокчейн и протоколы/Тиана_Лоуренс БлокЧейн для чайников.pdf,Тиана_Лоуренс БлокЧейн для чайников.pdf,.pdf,114.57,2,Основы блокчейн и протоколы,no
Блокчейн/Основы блокчейн и протоколы/Экономика_знаний_Блокчейн_и_умные_контракты.pdf,Экономика_знаний_Блокчейн_и_умные_контракты.pdf,.pdf,5.69,2,Основы блокчейн и протоколы,no
Блокчейн/Разработка/Infante_R_Building_Ethereum_Dapps_Decentralized_applications_on.pdf,Infante_R_Building_Ethereum_Dapps_Decentralized_applications_on.pdf,.pdf,9.2,2,Разработка,no
Блокчейн/Разработка/Блокчеин Руководствo для разработчиков 2020.pdf,Блокчеин Руководствo для разработчиков 2020.pdf,.pdf,44.56,2,Разработка,no
Блокчейн/Разработка/Блокчейн. Разработка приложений.pdf,Блокчейн. Разработка приложений.pdf,.pdf,8.3,2,Разработка,no
Блокчейн/Разработка/Блокчейн. Руководство для начинающих разработчиков.pdf,Блокчейн. Руководство для начинающих разработчиков.pdf,.pdf,44.48,2,Разработка,no
Блокчейн/Разработка/Разработка_смарт_контрактов_в_Ethereum 2022.pdf,Разработка_смарт_контрактов_в_Ethereum 2022.pdf,.pdf,7.64,2,Разработка,no
Веб-разработка/Angular/Angular для профессионалов.pdf,Angular для профессионалов.pdf,.pdf,10.29,2,Angular,no
Веб-разработка/Angular/Angular и TypeScript.pdf,Angular и TypeScript.pdf,.pdf,40.52,2,Angular,no
Веб-разработка/Angular/Angular_Сборник_рецептов_2018.pdf,Angular_Сборник_рецептов_2018.pdf,.pdf,45.98,2,Angular,no
"Веб-разработка/Angular/Building_Offline_Applications_with_Angular_Develop_Reliable,_Performant.pdf","Building_Offline_Applications_with_Angular_Develop_Reliable,_Performant.pdf",.pdf,12.44,2,Angular,no
"Веб-разработка/Angular/Learning_Angular,_3rd_Edition_A_no_nonsense_beginner’s_guide_to.pdf","Learning_Angular,_3rd_Edition_A_no_nonsense_beginner’s_guide_to.pdf",.pdf,2.76,2,Angular,no
Веб-разработка/Angular/Pro_Angular_16.pdf,Pro_Angular_16.pdf,.pdf,14.07,2,Angular,no
Веб-разработка/Angular/Дилеман Изучаем angular-2 2017.pdf,Дилеман Изучаем angular-2 2017.pdf,.pdf,25.66,2,Angular,no
Веб-разработка/Angular/Фримен - Angular для профессионалов - 2018.pdf,Фримен - Angular для профессионалов - 2018.pdf,.pdf,10.08,2,Angular,no
Веб-разработка/Backend/!WordPress с нуля 2021.pdf,!WordPress с нуля 2021.pdf,.pdf,26.96,2,Backend,no
Веб-разработка/Backend/Designing APIs with Swagger and OpenAPI 2022.pdf,Designing APIs with Swagger and OpenAPI 2022.pdf,.pdf,15.94,2,Backend,no
Веб-разработка/Backend/Full Stack GraphQL Applications V9 2022.pdf,Full Stack GraphQL Applications V9 2022.pdf,.pdf,19.32,2,Backend,no
Веб-разработка/Backend/HTTP 2 в действии 2021.pdf,HTTP 2 в действии 2021.pdf,.pdf,31.28,2,Backend,no
"Веб-разработка/Backend/Node.js, Express, MongoDB и React. 23 урока.pdf","Node.js, Express, MongoDB и React. 23 урока.pdf",.pdf,10.59,2,Backend,no
Веб-разработка/Backend/Web-программирование на Python.pdf,Web-программирование на Python.pdf,.pdf,5.77,2,Backend,no
Веб-разработка/Backend/Web_API_Development_with_Python_A_Beginners_Guide.pdf,Web_API_Development_with_Python_A_Beginners_Guide.pdf,.pdf,2.6,2,Backend,no
Веб-разработка/Backend/WordPress с нуля.pdf,WordPress с нуля.pdf,.pdf,26.99,2,Backend,no
Веб-разработка/Backend/Алекс_Бэнкс GraphQL_Язык_запросов_для_современных_веб_приложений 2019.pdf,Алекс_Бэнкс GraphQL_Язык_запросов_для_современных_веб_приложений 2019.pdf,.pdf,5.52,2,Backend,no
Веб-разработка/Backend/Веб-разработка с использованием Node и Express.pdf,Веб-разработка с использованием Node и Express.pdf,.pdf,6.51,2,Backend,no
Веб-разработка/Backend/Веб_разработка_с_применением_Node_и_Express -2021.pdf,Веб_разработка_с_применением_Node_и_Express -2021.pdf,.pdf,9.49,2,Backend,no
Веб-разработка/Backend/Разработка веб-приложений 2020.pdf,Разработка веб-приложений 2020.pdf,.pdf,49.87,2,Backend,no
Веб-разработка/Backend/Разработка_веб_приложений_на_WordPress.pdf,Разработка_веб_приложений_на_WordPress.pdf,.pdf,37.09,2,Backend,no
"Веб-разработка/Backend/Свой_сайт_на_Wordpress_легко,_быстро,_бесплатно.pdf","Свой_сайт_на_Wordpress_легко,_быстро,_бесплатно.pdf",.pdf,4.82,2,Backend,no
Веб-разработка/Backend/Семантический веб.pdf,Семантический веб.pdf,.pdf,2.35,2,Backend,no
Веб-разработка/Backend/Создаем динамические веб-сайты.pdf,Создаем динамические веб-сайты.pdf,.pdf,11.57,2,Backend,no
"Веб-разработка/Backend/Стек MEAN. Mongo, Express, Angular, Node.pdf","Стек MEAN. Mongo, Express, Angular, Node.pdf",.pdf,38.58,2,Backend,no
Веб-разработка/Django/Django 4 в примерах [2023] Антонио Меле.pdf,Django 4 в примерах [2023] Антонио Меле.pdf,.pdf,59.87,2,Django,no
Веб-разработка/Django/Django-RESTful-Web-Services_RuLit_Me_618227.epub,Django-RESTful-Web-Services_RuLit_Me_618227.epub,.epub,10.47,2,Django,no
Веб-разработка/Django/Django_4_for_the_Impatient_Learn_the_Core_Concepts_of_Python_Web.pdf,Django_4_for_the_Impatient_Learn_the_Core_Concepts_of_Python_Web.pdf,.pdf,8.37,2,Django,no
Веб-разработка/Django/Django_for_APIs_Build_Web_APIs_with_Python 2019.pdf,Django_for_APIs_Build_Web_APIs_with_Python 2019.pdf,.pdf,8.72,2,Django,no
Веб-разработка/Django/Django_Практика_создания_Web_сайтов_на_Python.pdf,Django_Практика_создания_Web_сайтов_на_Python.pdf,.pdf,31.97,2,Django,no
"Веб-разработка/Django/Python, Django и Bootstrap для начинающих.pdf","Python, Django и Bootstrap для начинающих.pdf",.pdf,86.8,2,Django,no
"Веб-разработка/Django/Python, Django, PyCharm.pdf","Python, Django, PyCharm.pdf",.pdf,56.98,2,Django,no
Веб-разработка/Django/Secure Web Application Development.pdf,Secure Web Application Development.pdf,.pdf,12.7,2,Django,no
Веб-разработка/Django/Владимир_Дронов_Django_практика.pdf,Владимир_Дронов_Django_практика.pdf,.pdf,111.72,2,Django,no
Веб-разработка/Django/Дронов Практика создания сайтов на Python 2021.pdf,Дронов Практика создания сайтов на Python 2021.pdf,.pdf,16.91,2,Django,no
"Веб-разработка/Django/Форсье_Д_,_Биссекс_П_,_Чан_У_Django.djvu","Форсье_Д_,_Биссекс_П_,_Чан_У_Django.djvu",.djvu,5.12,2,Django,no
Веб-разработка/Frontend/Bootstrap и CSS-препроцессор Sass 2022.pdf,Bootstrap и CSS-препроцессор Sass 2022.pdf,.pdf,5.48,2,Frontend,no
Веб-разработка/Frontend/Building Micro-Front... by Mezzalira  Luca.pdf,Building Micro-Front... by Mezzalira  Luca.pdf,.pdf,6.75,2,Frontend,no
Веб-разработка/Frontend/CSS для профи.pdf,CSS для профи.pdf,.pdf,40.46,2,Frontend,no
Веб-разработка/Frontend/CSS_каскадные_таблицы_стилей 2018.pdf,CSS_каскадные_таблицы_стилей 2018.pdf,.pdf,8.99,2,Frontend,no
Веб-разработка/Frontend/Figma проектирование.pdf,Figma проектирование.pdf,.pdf,63.2,2,Frontend,no
Веб-разработка/Frontend/Front_end_Клиентская разработка для профессионалов_Node_js_ES6.pdf,Front_end_Клиентская разработка для профессионалов_Node_js_ES6.pdf,.pdf,17.25,2,Frontend,no
"Веб-разработка/Frontend/Head First - Изучаем HTML, XHTML и CSS.pdf","Head First - Изучаем HTML, XHTML и CSS.pdf",.pdf,33.46,2,Frontend,no
"Веб-разработка/Frontend/HTML,_JavaScript,_PHP_и_MySQL_Джентльменский_набор_Web_мастера_2019.pdf","HTML,_JavaScript,_PHP_и_MySQL_Джентльменский_набор_Web_мастера_2019.pdf",.pdf,6.69,2,Frontend,no
Веб-разработка/Frontend/HTML5_Разработка_приложений_для_мобильных_устройств.pdf,HTML5_Разработка_приложений_для_мобильных_устройств.pdf,.pdf,7.68,2,Frontend,no
Веб-разработка/Frontend/Hugo in Action Static sites and dynamic Jamstack apps 2022.pdf,Hugo in Action Static sites and dynamic Jamstack apps 2022.pdf,.pdf,45.47,2,Frontend,no
Веб-разработка/Frontend/Javascript и jQuery.  ДжонДакетт 2017.pdf,Javascript и jQuery.  ДжонДакетт 2017.pdf,.pdf,36.96,2,Frontend,no
Веб-разработка/Frontend/JavaScript_ FrontEnd.pdf,JavaScript_ FrontEnd.pdf,.pdf,30.05,2,Frontend,no
"Веб-разработка/Frontend/Learning_Web_Design_A_Beginner’s_Guide_to_HTML,_CSS,_JavaScript.pdf","Learning_Web_Design_A_Beginner’s_Guide_to_HTML,_CSS,_JavaScript.pdf",.pdf,76.02,2,Frontend,no
Веб-разработка/Frontend/mara_andrew_ux_on_the_go_a_flexible_guide_to_user_experience.pdf,mara_andrew_ux_on_the_go_a_flexible_guide_to_user_experience.pdf,.pdf,7.83,2,Frontend,no
Веб-разработка/Frontend/Meyer_E_CSS_Karmanny_spravochnik.pdf,Meyer_E_CSS_Karmanny_spravochnik.pdf,.pdf,7.56,2,Frontend,no
Веб-разработка/Frontend/New_Perspectives_HTML5_and_CSS3_Comprehensive_Course.pdf,New_Perspectives_HTML5_and_CSS3_Comprehensive_Course.pdf,.pdf,43.62,2,Frontend,no
Веб-разработка/Frontend/Osnovy_Web-Dizayna_Rukovodstvo.pdf,Osnovy_Web-Dizayna_Rukovodstvo.pdf,.pdf,26.72,2,Frontend,no
Веб-разработка/Frontend/Successful_Freelancing_for_Web.pdf,Successful_Freelancing_for_Web.pdf,.pdf,4.63,2,Frontend,no
Веб-разработка/Frontend/Svelte_и_Sapper_в_действии_2022_Марк_Волкманн.pdf,Svelte_и_Sapper_в_действии_2022_Марк_Волкманн.pdf,.pdf,8.48,2,Frontend,no
Веб-разработка/Frontend/The_Art_of_Micro_Frontends_Build_websites_using_compositional_UI.pdf,The_Art_of_Micro_Frontends_Build_websites_using_compositional_UI.pdf,.pdf,6.28,2,Frontend,no
Веб-разработка/Frontend/Web Coding.pdf,Web Coding.pdf,.pdf,1.91,2,Frontend,no
Веб-разработка/Frontend/Webpack_5_Up_and_Running_A_quick_and_practical_introduction.pdf,Webpack_5_Up_and_Running_A_quick_and_practical_introduction.pdf,.pdf,3.73,2,Frontend,no
Веб-разработка/Frontend/Введение_в_проектирование_пользовательских_интерфейсов.pdf,Введение_в_проектирование_пользовательских_интерфейсов.pdf,.pdf,17.32,2,Frontend,no
Веб-разработка/Frontend/Веб-дизайн для начинающих.pdf,Веб-дизайн для начинающих.pdf,.pdf,14.95,2,Frontend,no
Веб-разработка/Frontend/Веб-дизайн для недизайнеров.pdf,Веб-дизайн для недизайнеров.pdf,.pdf,10.48,2,Frontend,no
Веб-разработка/Frontend/Веб-дизайн. Книга идей веб-разработчика 2014.pdf,Веб-дизайн. Книга идей веб-разработчика 2014.pdf,.pdf,109.7,2,Frontend,no
Веб-разработка/Frontend/Веб-компоненты в действии.pdf,Веб-компоненты в действии.pdf,.pdf,13.09,2,Frontend,no
Веб-разработка/Frontend/Веб_компоненты_в_действии_2020.pdf,Веб_компоненты_в_действии_2020.pdf,.pdf,13.09,2,Frontend,no
Веб-разработка/Frontend/Джесс Гарретт Веб_дизайн ориенированный на пользователя.pdf,Джесс Гарретт Веб_дизайн ориенированный на пользователя.pdf,.pdf,3.89,2,Frontend,no
Веб-разработка/Frontend/Законы UX-дизайна.pdf,Законы UX-дизайна.pdf,.pdf,5.54,2,Frontend,no
Веб-разработка/Frontend/Как создать сайт.pdf,Как создать сайт.pdf,.pdf,32.07,2,Frontend,no
Веб-разработка/Frontend/Как_сделать_сайт_визитку_своими_руками.pdf,Как_сделать_сайт_визитку_своими_руками.pdf,.pdf,14.65,2,Frontend,no
Веб-разработка/Frontend/Леа Веру Секреты CSSидеальные решения элементарных задач 2016.pdf,Леа Веру Секреты CSSидеальные решения элементарных задач 2016.pdf,.pdf,21.04,2,Frontend,no
Веб-разработка/Frontend/Макфарланд_Большая_книга_CSS3 2014.pdf,Макфарланд_Большая_книга_CSS3 2014.pdf,.pdf,20.38,2,Frontend,no
Веб-разработка/Frontend/Малышев_К_В_Построение_пользовательских_интерфейсов.pdf,Малышев_К_В_Построение_пользовательских_интерфейсов.pdf,.pdf,12.3,2,Frontend,no
Веб-разработка/Frontend/Мальцеа Проектирование Веб-сайтов.pdf,Мальцеа Проектирование Веб-сайтов.pdf,.pdf,3.94,2,Frontend,no
Веб-разработка/Frontend/Наглядный_CSS_2021_Грег_Сидельников.pdf,Наглядный_CSS_2021_Грег_Сидельников.pdf,.pdf,12.38,2,Frontend,no
Веб-разработка/Frontend/Оодностраничный веб 2014.pdf,Оодностраничный веб 2014.pdf,.pdf,5.83,2,Frontend,no
Веб-разработка/Frontend/Основы web-дизайна. 2021.pdf,Основы web-дизайна. 2021.pdf,.pdf,5.67,2,Frontend,no
Веб-разработка/Frontend/Основы разработки WEB приложений 2015.pdf,Основы разработки WEB приложений 2015.pdf,.pdf,6.72,2,Frontend,no
Веб-разработка/Frontend/Проектирование_и_разработка_WEB_приложений.pdf,Проектирование_и_разработка_WEB_приложений.pdf,.pdf,1.06,2,Frontend,no
Веб-разработка/Frontend/Реактивные_веб_сайты.pdf,Реактивные_веб_сайты.pdf,.pdf,5.14,2,Frontend,no
Веб-разработка/Frontend/Рецепты_программирования_HTML5_2012г.pdf,Рецепты_программирования_HTML5_2012г.pdf,.pdf,5.51,2,Frontend,no
Веб-разработка/Frontend/Робинс html5-karmannyiy-spravochnik 2015.pdf,Робинс html5-karmannyiy-spravochnik 2015.pdf,.pdf,20.02,2,Frontend,no
Веб-разработка/Frontend/Самостоятельное_создание_сайта_с_нуля_без_знаний_веб_програм.pdf,Самостоятельное_создание_сайта_с_нуля_без_знаний_веб_програм.pdf,.pdf,1.43,2,Frontend,no
Веб-разработка/Frontend/Секреты_CSS_Идеальные_решения_ежедневных_задач.pdf,Секреты_CSS_Идеальные_решения_ежедневных_задач.pdf,.pdf,21.05,2,Frontend,no
Веб-разработка/Frontend/Создаем динамические веб-сайты.pdf,Создаем динамические веб-сайты.pdf,.pdf,8.86,2,Frontend,no
Веб-разработка/Frontend/Создание сайтов на Tilda.pdf,Создание сайтов на Tilda.pdf,.pdf,47.39,2,Frontend,no
"Веб-разработка/Frontend/Создание_web_страниц,_сайтов_с_применением_web_технологий.pdf","Создание_web_страниц,_сайтов_с_применением_web_технологий.pdf",.pdf,27.42,2,Frontend,no
Веб-разработка/Frontend/Ташков.Веб-мастеринг2010г (2).pdf,Ташков.Веб-мастеринг2010г (2).pdf,.pdf,10.88,2,Frontend,no
Веб-разработка/Frontend/Ташков.Веб-мастеринг2010г.pdf,Ташков.Веб-мастеринг2010г.pdf,.pdf,10.88,2,Frontend,no
Веб-разработка/Frontend/Фаррелл_Б_Веб_компоненты_в_действии_2020.pdf,Фаррелл_Б_Веб_компоненты_в_действии_2020.pdf,.pdf,13.09,2,Frontend,no
Веб-разработка/Frontend/Шмитт К. CSS. Рецепты программирования (2011).djvu,Шмитт К. CSS. Рецепты программирования (2011).djvu,.djvu,23.12,2,Frontend,no
Веб-разработка/Frontend/Я верстальщик..pdf,Я верстальщик..pdf,.pdf,1.42,2,Frontend,no
"Веб-разработка/Fullstack/Getting_MEAN_with_Mongo,_Express,_Angular,_and_Node.pdf","Getting_MEAN_with_Mongo,_Express,_Angular,_and_Node.pdf",.pdf,8.82,2,Fullstack,no
Веб-разработка/Fullstack/jаvascript-from-frontend-to-backend.pdf,jаvascript-from-frontend-to-backend.pdf,.pdf,7.67,2,Fullstack,no
Веб-разработка/Fullstack/Web на практике.pdf,Web на практике.pdf,.pdf,28.36,2,Fullstack,no
"Веб-разработка/Fullstack/Стек MEAN. Mongo, Express, Angular, Node. С. Холмс.pdf","Стек MEAN. Mongo, Express, Angular, Node. С. Холмс.pdf",.pdf,38.11,2,Fullstack,no
Веб-разработка/HTML-CSS/!!!!_Как создать сайт.pdf,!!!!_Как создать сайт.pdf,.pdf,32.07,2,HTML-CSS,no
Веб-разработка/HTML-CSS/ChatGPT_сделай_мне.pdf,ChatGPT_сделай_мне.pdf,.pdf,11.85,2,HTML-CSS,no
Веб-разработка/HTML-CSS/HTML and CSS The Most Complete Web Development Guide.pdf,HTML and CSS The Most Complete Web Development Guide.pdf,.pdf,30.05,2,HTML-CSS,no
Веб-разработка/HTML-CSS/HTML и CSS. 33 урока для начинающих.pdf,HTML и CSS. 33 урока для начинающих.pdf,.pdf,9.45,2,HTML-CSS,no
Веб-разработка/HTML-CSS/html5-карманный справочник.pdf,html5-карманный справочник.pdf,.pdf,18.93,2,HTML-CSS,no
Веб-разработка/HTML-CSS/HTML5_+_CSS3_Основы_современного_WEB_дизайна.pdf,HTML5_+_CSS3_Основы_современного_WEB_дизайна.pdf,.pdf,120.32,2,HTML-CSS,no
Веб-разработка/HTML-CSS/HTML_и_XHTML_Подробное_руководство.pdf,HTML_и_XHTML_Подробное_руководство.pdf,.pdf,6.96,2,HTML-CSS,no
"Веб-разработка/HTML-CSS/Web Design Playground, 2Ed (MEAP v1).pdf","Web Design Playground, 2Ed (MEAP v1).pdf",.pdf,10.11,2,HTML-CSS,no
Веб-разработка/HTML-CSS/Web_Design_Playground_HTML_CSS_the_Interactive_Way_by_Paul_McFedries.epub,Web_Design_Playground_HTML_CSS_the_Interactive_Way_by_Paul_McFedries.epub,.epub,27.93,2,HTML-CSS,no
Веб-разработка/HTML-CSS/Бен_Фрэйн_HTML5_и_CSS3_Разработка.epub,Бен_Фрэйн_HTML5_и_CSS3_Разработка.epub,.epub,13.67,2,HTML-CSS,no
Веб-разработка/HTML-CSS/Джон Дакетт HTML и CSS_Разработка ВЕБ сайта.pdf,Джон Дакетт HTML и CSS_Разработка ВЕБ сайта.pdf,.pdf,92.75,2,HTML-CSS,no
Веб-разработка/HTML-CSS/Дизайн для разработчиков.pdf,Дизайн для разработчиков.pdf,.pdf,12.2,2,HTML-CSS,no
Веб-разработка/HTML-CSS/Клиентские_технологии_веб_дизайна_HTML5_и_CSS.pdf,Клиентские_технологии_веб_дизайна_HTML5_и_CSS.pdf,.pdf,8.27,2,HTML-CSS,no
Веб-разработка/HTML-CSS/Мержевич_В_Вёрстка_веб_страниц_2.pdf,Мержевич_В_Вёрстка_веб_страниц_2.pdf,.pdf,7.34,2,HTML-CSS,no
Веб-разработка/HTML-CSS/Отзывчивый_дизайн_на_HTML5_и_CSS3_для_любых_устройств_3_е_изд_ 2021.pdf,Отзывчивый_дизайн_на_HTML5_и_CSS3_для_любых_устройств_3_е_изд_ 2021.pdf,.pdf,10.86,2,HTML-CSS,no
Веб-разработка/HTML-CSS/Руководство для начинающих по HTML и CSS.pdf,Руководство для начинающих по HTML и CSS.pdf,.pdf,12.16,2,HTML-CSS,no
Веб-разработка/HTML-CSS/Справочник HTML.pdf,Справочник HTML.pdf,.pdf,16.13,2,HTML-CSS,no
Веб-разработка/HTML-CSS/Фрейн html5-i-css3-2 2017.epub,Фрейн html5-i-css3-2 2017.epub,.epub,13.67,2,HTML-CSS,no
Веб-разработка/HTML-CSS/Фрейн html5-i-css3-2 2017.pdf,Фрейн html5-i-css3-2 2017.pdf,.pdf,9.68,2,HTML-CSS,no
Веб-разработка/HTML-CSS/Фримен Изучаем HTML.pdf,Фримен Изучаем HTML.pdf,.pdf,31.19,2,HTML-CSS,no
Веб-разработка/HTML-CSS/Хоган html5-i-css3-veb-razrabotka 2014.pdf,Хоган html5-i-css3-veb-razrabotka 2014.pdf,.pdf,9.77,2,HTML-CSS,no
